孟买酒店,https://maoyan.com/films/1217182,https://z3.ax1x.com/2021/05/31/2ZrWc9.jpg,mmjd,,,,"推荐,tj,ztj1",2018,"<a href=""https://maoyan.com/films/1217182""><img src=""https://z3.ax1x.com/2021/05/31/2ZrWc9.jpg"" tag=""孟买酒店,mmjd,,,,推荐,tj,ztj1,2018""></a><span class=""tip"" id=""https://z3.ax1x.com/2021/05/31/2ZrWc9.jpg"" onclick=""alert('孟买酒店,mmjd,,,,推荐,tj,ztj1,2018')"">&nbsp;</span>",21
怒火救援,https://maoyan.com/films/223672,https://z3.ax1x.com/2021/05/31/2Zr50x.jpg,nhjy,"动作,dz",,"丹泽尔华盛顿,dzehsd","推荐,tj,ztj1",2004,"<a href=""https://maoyan.com/films/223672""><img src=""https://z3.ax1x.com/2021/05/31/2Zr50x.jpg"" tag=""怒火救援,nhjy,动作,dz,,丹泽尔华盛顿,dzehsd,推荐,tj,ztj1,2004""></a><span class=""tip"" id=""https://z3.ax1x.com/2021/05/31/2Zr50x.jpg"" onclick=""alert('怒火救援,nhjy,动作,dz,,丹泽尔华盛顿,dzehsd,推荐,tj,ztj1,2004')"">&nbsp;</span>",22
人在囧途之泰囧,https://maoyan.com/films/938,https://z3.ax1x.com/2021/05/31/2ZrI76.jpg,rzjtztj,"喜剧,xj","中,z","徐峥,xz,王宝强,wbq,黄渤,hb","推荐,tj,ztj1",2012,"<a href=""https://maoyan.com/films/938""><img src=""https://z3.ax1x.com/2021/05/31/2ZrI76.jpg"" tag=""人在囧途之泰囧,rzjtztj,喜剧,xj,中,z,徐峥,xz,王宝强,wbq,黄渤,hb,推荐,tj,ztj1,2012""></a><span class=""tip"" id=""https://z3.ax1x.com/2021/05/31/2ZrI76.jpg"" onclick=""alert('人在囧途之泰囧,rzjtztj,喜剧,xj,中,z,徐峥,xz,王宝强,wbq,黄渤,hb,推荐,tj,ztj1,2012')"">&nbsp;</span>",23
深海浩劫,https://maoyan.com/films/248675,https://z3.ax1x.com/2021/05/31/2ZrTAK.jpg,shhj,"灾难,zn",,,"推荐,tj,ztj1",2016,"<a href=""https://maoyan.com/films/248675""><img src=""https://z3.ax1x.com/2021/05/31/2ZrTAK.jpg"" tag=""深海浩劫,shhj,灾难,zn,,,推荐,tj,ztj1,2016""></a><span class=""tip"" id=""https://z3.ax1x.com/2021/05/31/2ZrTAK.jpg"" onclick=""alert('深海浩劫,shhj,灾难,zn,,,推荐,tj,ztj1,2016')"">&nbsp;</span>",24
天崩地裂,https://maoyan.com/films/1516,https://z3.ax1x.com/2021/05/31/2Zrq9e.jpg,tbdl,"灾难,zn",,"皮尔斯布鲁斯南,pesblsn","推荐,tj,ztj1",1997,"<a href=""https://maoyan.com/films/1516""><img src=""https://z3.ax1x.com/2021/05/31/2Zrq9e.jpg"" tag=""天崩地裂,tbdl,灾难,zn,,皮尔斯布鲁斯南,pesblsn,推荐,tj,ztj1,1997""></a><span class=""tip"" id=""https://z3.ax1x.com/2021/05/31/2Zrq9e.jpg"" onclick=""alert('天崩地裂,tbdl,灾难,zn,,皮尔斯布鲁斯南,pesblsn,推荐,tj,ztj1,1997')"">&nbsp;</span>",25
王牌特工12,https://maoyan.com/films/78589,https://z3.ax1x.com/2021/05/31/2ZyQdP.jpg,wptg,"动作,dz",,,"推荐,tj,ztj1",2015,"<a href=""https://maoyan.com/films/78589""><img src=""https://z3.ax1x.com/2021/05/31/2ZyQdP.jpg"" tag=""王牌特工12,wptg,动作,dz,,,推荐,tj,ztj1,2015""></a><span class=""tip"" id=""https://z3.ax1x.com/2021/05/31/2ZyQdP.jpg"" onclick=""alert('王牌特工12,wptg,动作,dz,,,推荐,tj,ztj1,2015')"">&nbsp;</span>",26
幸福终点站,https://maoyan.com/films/1339,https://z3.ax1x.com/2021/05/31/2Zr7tO.jpg,xfzdz,"爱情,aq",,"斯皮尔伯格,spebg,汤姆汉克斯,tmhks,凯瑟琳泽塔琼斯,kslztqs","推荐,tj,ztj1",2005,"<a href=""https://maoyan.com/films/1339""><img src=""https://z3.ax1x.com/2021/05/31/2Zr7tO.jpg"" tag=""幸福终点站,xfzdz,爱情,aq,,斯皮尔伯格,spebg,汤姆汉克斯,tmhks,凯瑟琳泽塔琼斯,kslztqs,推荐,tj,ztj1,2005""></a><span class=""tip"" id=""https://z3.ax1x.com/2021/05/31/2Zr7tO.jpg"" onclick=""alert('幸福终点站,xfzdz,爱情,aq,,斯皮尔伯格,spebg,汤姆汉克斯,tmhks,凯瑟琳泽塔琼斯,kslztqs,推荐,tj,ztj1,2005')"">&nbsp;</span>",27
小萝莉的猴神大叔,https://maoyan.com/films/343136,https://z3.ax1x.com/2021/05/31/2ZrXjA.jpg,xlldhsds,"喜剧,xj","印,y",,"推荐,tj,ztj1",2018,"<a href=""https://maoyan.com/films/343136""><img src=""https://z3.ax1x.com/2021/05/31/2ZrXjA.jpg"" tag=""小萝莉的猴神大叔,xlldhsds,喜剧,xj,印,y,,推荐,tj,ztj1,2018""></a><span class=""tip"" id=""https://z3.ax1x.com/2021/05/31/2ZrXjA.jpg"" onclick=""alert('小萝莉的猴神大叔,xlldhsds,喜剧,xj,印,y,,推荐,tj,ztj1,2018')"">&nbsp;</span>",28
修女也疯狂1,https://maoyan.com/films/8346,https://z3.ax1x.com/2021/05/31/2ZrvnI.jpg,xnyfk,"喜剧,xj",,,"推荐,tj,ztj1",1992,"<a href=""https://maoyan.com/films/8346""><img src=""https://z3.ax1x.com/2021/05/31/2ZrvnI.jpg"" tag=""修女也疯狂1,xnyfk,喜剧,xj,,,推荐,tj,ztj1,1992""></a><span class=""tip"" id=""https://z3.ax1x.com/2021/05/31/2ZrvnI.jpg"" onclick=""alert('修女也疯狂1,xnyfk,喜剧,xj,,,推荐,tj,ztj1,1992')"">&nbsp;</span>",29
肖申克的救赎,https://maoyan.com/films/1297,https://z3.ax1x.com/2021/05/31/2ZrOcd.jpg,xskdjs,"犯罪,fz",,"摩根弗里曼,mgflm","推荐,tj,ztj1",1994,"<a href=""https://maoyan.com/films/1297""><img src=""https://z3.ax1x.com/2021/05/31/2ZrOcd.jpg"" tag=""肖申克的救赎,xskdjs,犯罪,fz,,摩根弗里曼,mgflm,推荐,tj,ztj1,1994""></a><span class=""tip"" id=""https://z3.ax1x.com/2021/05/31/2ZrOcd.jpg"" onclick=""alert('肖申克的救赎,xskdjs,犯罪,fz,,摩根弗里曼,mgflm,推荐,tj,ztj1,1994')"">&nbsp;</span>",30
勇敢的心,https://maoyan.com/films/3294,https://z3.ax1x.com/2021/05/31/2ZrL1H.jpg,ygdx,"历史,ls",,"梅尔吉布森,mejbs,苏菲玛索,sfms","推荐,tj,ztj1",1995,"<a href=""https://maoyan.com/films/3294""><img src=""https://z3.ax1x.com/2021/05/31/2ZrL1H.jpg"" tag=""勇敢的心,ygdx,历史,ls,,梅尔吉布森,mejbs,苏菲玛索,sfms,推荐,tj,ztj1,1995""></a><span class=""tip"" id=""https://z3.ax1x.com/2021/05/31/2ZrL1H.jpg"" onclick=""alert('勇敢的心,ygdx,历史,ls,,梅尔吉布森,mejbs,苏菲玛索,sfms,推荐,tj,ztj1,1995')"">&nbsp;</span>",31
与狼共舞,https://maoyan.com/films/2577,https://z3.ax1x.com/2021/05/31/2ZrHhD.jpg,ylgw,"历史,ls",,"凯文科斯特纳,kwkstn","推荐,tj,ztj1",1990,"<a href=""https://maoyan.com/films/2577""><img src=""https://z3.ax1x.com/2021/05/31/2ZrHhD.jpg"" tag=""与狼共舞,ylgw,历史,ls,,凯文科斯特纳,kwkstn,推荐,tj,ztj1,1990""></a><span class=""tip"" id=""https://z3.ax1x.com/2021/05/31/2ZrHhD.jpg"" onclick=""alert('与狼共舞,ylgw,历史,ls,,凯文科斯特纳,kwkstn,推荐,tj,ztj1,1990')"">&nbsp;</span>",32
